approach;sample_size;avg_dev_activities;stddev;avg_pw_similarity;stddev
Random;100;18.8;0.6;0.9656140350877195;0.030424310313442296
Random;200;19.9;0.5385164807134504;0.972804232804233;0.028178465592122885
Random;300;19.7;0.45825756949558394;0.963968253968254;0.032829142275034966
Random;400;20.1;0.3;0.9904761904761904;0.01904761904761907
Random;500;20.3;0.45825756949558394;0.9777777777777776;0.023756554836659973
Longest;100;19.0;0.0;1.0;0.0
Longest;200;20.0;0.0;1.0;0.0
Longest;300;20.0;0.0;1.0;0.0
Longest;400;21.0;0.0;1.0;0.0
Longest;500;21.0;0.0;1.0;0.0
Feature;100;19.7;0.45825756949558394;0.9553968253968254;0.04033557898085555
Feature;200;20.1;0.5385164807134504;0.952010582010582;0.03478674026044961
Feature;300;20.2;0.39999999999999997;0.9830687830687828;0.022794348389987344
Feature;400;20.3;0.6403124237432849;0.9648148148148148;0.029220531791500703
Feature;500;20.4;0.4898979485566356;0.9746031746031744;0.023756554836659973
Sequence;100;19.0;0.0;0.9446560846560845;0.05342668407090867
Sequence;200;19.5;0.6708203932499369;0.9598941798941799;0.03398811003828682
Sequence;300;20.1;0.5385164807134504;0.9731746031746029;0.02789047433857913
Sequence;400;20.0;0.4472135954999579;0.9805291005291006;0.02588464481522985
Sequence;500;20.2;0.6;0.9573544973544971;0.03215930295413598
