approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Random;100;0;55;53;419;18;0.7870934959349594;0.0;9.274482727050781e-05;292.6477265357971
Random;100;1;61;57;532;18;0.7710843373493976;0.0;8.225440979003906e-05;490.59608268737793
Random;100;2;62;59;593;19;0.7543496271748136;0.0;8.511543273925781e-05;445.346227645874
Random;100;3;53;51;449;19;0.7830917874396135;0.0;9.560585021972656e-05;317.0051898956299
Random;100;4;50;49;378;18;0.78300803673938;0.0;8.96453857421875e-05;199.04429244995117
Random;100;5;52;51;398;19;0.7949510561566203;0.0;8.559226989746094e-05;207.97206902503967
Random;100;6;57;58;570;20;0.7590870667793744;0.0;9.036064147949219e-05;484.1197986602783
Random;100;7;58;61;564;19;0.7610169491525424;0.0;0.00010061264038085938;386.4416778087616
Random;100;8;56;57;502;19;0.7737719693555656;0.0;0.00010561943054199219;341.29609870910645
Random;100;9;47;46;506;19;0.7577788415509813;0.0;8.320808410644531e-05;335.37951135635376
Random;200;0;99;108;893;20;0.7676899063475546;0.0;0.00014781951904296875;462.8438618183136
Random;200;1;117;121;1245;19;0.7355003186743149;0.0;0.0001766681671142578;707.8914806842804
Random;200;2;102;114;963;20;0.7701121986154214;0.0;0.0001671314239501953;664.3249650001526
Random;200;3;99;106;986;20;0.7676172519443789;0.0;0.00021219253540039062;482.2174959182739
Random;200;4;109;114;1137;21;0.7507125630344222;0.0;0.0001423358917236328;630.7285234928131
Random;200;5;105;115;1075;20;0.7476525821596245;0.0;0.0001227855682373047;746.7253654003143
Random;200;6;92;95;772;20;0.7948990435706695;0.0;0.00011968612670898438;393.7659475803375
Random;200;7;116;128;1209;20;0.7448828866849546;0.0;0.0001475811004638672;751.4075789451599
Random;200;8;104;109;930;19;0.7786768205616373;0.0;0.0001704692840576172;428.0993366241455
Random;200;9;118;121;1116;20;0.7570215545395167;0.0;0.0001327991485595703;591.4302890300751
Random;300;0;159;179;1707;20;0.7411282984531392;0.0;0.00016260147094726562;904.5748190879822
Random;300;1;144;154;1400;19;0.7745208568207441;0.0;0.00018405914306640625;806.0054996013641
Random;300;2;162;170;1656;20;0.7595469725569914;0.0;0.00016736984252929688;834.8315408229828
Random;300;3;140;148;1471;20;0.7627801967424609;0.0;0.0002372264862060547;710.0808687210083
Random;300;4;140;159;1321;19;0.7800166527893422;0.0;0.00021004676818847656;538.6200058460236
Random;300;5;157;171;1469;20;0.7693153266331658;0.0;0.00019431114196777344;517.9942045211792
Random;300;6;160;171;1675;19;0.7493640580577585;0.0;0.00019550323486328125;829.3666439056396
Random;300;7;152;173;1439;20;0.7723461477614302;0.0;0.0002009868621826172;607.2927603721619
Random;300;8;158;170;1666;20;0.7530754409367126;0.0;0.00021076202392578125;720.5119278430939
Random;300;9;148;152;1514;20;0.7624725447128962;0.0;0.00020551681518554688;762.8513405323029
Random;400;0;191;217;2112;20;0.7525773195876289;0.0;0.0002205371856689453;963.7578740119934
Random;400;1;190;216;1892;21;0.7780124369353514;0.0;0.0002512931823730469;669.9108521938324
Random;400;2;204;237;2121;20;0.7704048495345313;0.0;0.00023674964904785156;906.9106783866882
Random;400;3;221;238;2210;20;0.7667299978889592;0.0;0.0002543926239013672;828.4515573978424
Random;400;4;219;239;2296;20;0.755796639012976;0.0;0.000244140625;746.231751203537
Random;400;5;199;227;2122;20;0.7611973891514743;0.0;0.0003075599670410156;1088.3140449523926
Random;400;6;197;229;2031;20;0.7691783157176952;0.0;0.0002474784851074219;585.5122909545898
Random;400;7;196;223;2039;20;0.7577233840304183;0.0;0.00023317337036132812;578.7273349761963
Random;400;8;195;226;1892;20;0.7808155699721965;0.0;0.0002624988555908203;455.9564046859741
Random;400;9;195;214;1915;20;0.7820396084680172;0.0;0.0002231597900390625;705.3512651920319
Random;500;0;240;274;2497;20;0.7650103519668737;0.0;0.0002675056457519531;612.47713804245
Random;500;1;261;294;2829;21;0.758967368151998;0.0;0.00029277801513671875;834.7973837852478
Random;500;2;231;270;2521;20;0.7660759023847081;0.0;0.0003273487091064453;777.4085636138916
Random;500;3;239;284;2559;20;0.7679753377459425;0.0;0.0003364086151123047;725.363751411438
Random;500;4;240;278;2505;21;0.7674526550315633;0.0;0.0003147125244140625;597.3802764415741
Random;500;5;243;288;2710;20;0.7618419896300201;0.0;0.00042247772216796875;917.0641329288483
Random;500;6;264;288;2713;20;0.7613266473123955;0.0;0.00029468536376953125;597.0880827903748
Random;500;7;232;280;2484;20;0.7684132015662876;0.0;0.00029969215393066406;554.9312922954559
Random;500;8;244;280;2555;21;0.7684429943810042;0.0;0.0004382133483886719;471.16702485084534
Random;500;9;250;287;2650;20;0.7715911049818996;0.0;0.00028061866760253906;747.8177094459534
Longest;100;0;100;100;2826;19;0.7487329954654575;0.0;0.11260986328125;1722.554693222046
Longest;100;1;100;100;2826;19;0.7487329954654575;0.0;0.11290359497070312;0.007582902908325195
Longest;100;2;100;100;2826;19;0.7487329954654575;0.0;0.1127464771270752;0.007511615753173828
Longest;100;3;100;100;2826;19;0.7487329954654575;0.0;0.31207776069641113;0.00850367546081543
Longest;100;4;100;100;2826;19;0.7487329954654575;0.0;0.11484360694885254;0.00789332389831543
Longest;100;5;100;100;2826;19;0.7487329954654575;0.0;0.10916876792907715;0.00759577751159668
Longest;100;6;100;100;2826;19;0.7487329954654575;0.0;0.11187934875488281;0.007536649703979492
Longest;100;7;100;100;2826;19;0.7487329954654575;0.0;0.11121416091918945;0.007481098175048828
Longest;100;8;100;100;2826;19;0.7487329954654575;0.0;0.11178183555603027;0.007345914840698242
Longest;100;9;100;100;2826;19;0.7487329954654575;0.0;0.1098325252532959;0.0074765682220458984
Longest;200;0;200;200;5309;20;0.7308082344589798;0.0;0.11066579818725586;1064.7869584560394
Longest;200;1;200;200;5309;20;0.7308082344589798;0.0;0.11307716369628906;0.012681245803833008
Longest;200;2;200;200;5309;20;0.7308082344589798;0.0;0.11522078514099121;0.012792587280273438
Longest;200;3;200;200;5309;20;0.7308082344589798;0.0;0.10756468772888184;0.012739419937133789
Longest;200;4;200;200;5309;20;0.7308082344589798;0.0;0.11063003540039062;0.013009071350097656
Longest;200;5;200;200;5309;20;0.7308082344589798;0.0;0.11595344543457031;0.012625455856323242
Longest;200;6;200;200;5309;20;0.7308082344589798;0.0;0.10945630073547363;0.012691974639892578
Longest;200;7;200;200;5309;20;0.7308082344589798;0.0;0.10942363739013672;0.01269221305847168
Longest;200;8;200;200;5309;20;0.7308082344589798;0.0;0.10919547080993652;0.012775421142578125
Longest;200;9;200;200;5309;20;0.7308082344589798;0.0;0.1093294620513916;0.01318502426147461
Longest;300;0;300;300;7655;20;0.720232439149185;0.0;0.12175798416137695;972.9678728580475
Longest;300;1;300;300;7655;20;0.720232439149185;0.0;0.1105954647064209;0.01735067367553711
Longest;300;2;300;300;7655;20;0.720232439149185;0.0;0.10755610466003418;0.017451763153076172
Longest;300;3;300;300;7655;20;0.720232439149185;0.0;0.10788869857788086;0.01744246482849121
Longest;300;4;300;300;7655;20;0.720232439149185;0.0;0.1171412467956543;0.017833948135375977
Longest;300;5;300;300;7655;20;0.720232439149185;0.0;0.1163177490234375;0.01843571662902832
Longest;300;6;300;300;7655;20;0.720232439149185;0.0;0.10664248466491699;0.018963098526000977
Longest;300;7;300;300;7655;20;0.720232439149185;0.0;0.10733723640441895;0.01739501953125
Longest;300;8;300;300;7655;20;0.720232439149185;0.0;0.11023545265197754;0.017490625381469727
Longest;300;9;300;300;7655;20;0.720232439149185;0.0;0.11030840873718262;0.01761913299560547
Longest;400;0;400;400;9833;21;0.7147043463123077;0.0;0.3214585781097412;608.9473559856415
Longest;400;1;400;400;9833;21;0.7147043463123077;0.0;0.3120853900909424;0.0229947566986084
Longest;400;2;400;400;9833;21;0.7147043463123077;0.0;0.1040196418762207;0.021791458129882812
Longest;400;3;400;400;9833;21;0.7147043463123077;0.0;0.11138033866882324;0.025400638580322266
Longest;400;4;400;400;9833;21;0.7147043463123077;0.0;0.1096348762512207;0.021999120712280273
Longest;400;5;400;400;9833;21;0.7147043463123077;0.0;0.11031222343444824;0.023348331451416016
Longest;400;6;400;400;9833;21;0.7147043463123077;0.0;0.10668587684631348;0.02211737632751465
Longest;400;7;400;400;9833;21;0.7147043463123077;0.0;0.11732864379882812;0.023279905319213867
Longest;400;8;400;400;9833;21;0.7147043463123077;0.0;0.10575056076049805;0.023188114166259766
