approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Random;100;0;92;68;131;12;0.940562613430127;0.0;0.00014352798461914062;4.476407527923584
Random;100;1;92;62;130;12;0.939167056621432;0.0;9.369850158691406e-05;24.087735652923584
Random;100;2;92;71;158;13;0.9257518796992481;0.0;0.00011968612670898438;1.5155456066131592
Random;100;3;92;66;137;13;0.9326119035907525;0.0;0.00010609626770019531;4.492177963256836
Random;100;4;89;64;117;10;0.9405789740985272;0.0;9.226799011230469e-05;1.405881643295288
Random;100;5;94;71;139;13;0.9334928229665072;0.0;0.0001697540283203125;1.2659740447998047
Random;100;6;83;70;132;12;0.9292604501607717;0.0;9.799003601074219e-05;1.123530626296997
Random;100;7;96;72;144;13;0.9264931087289433;0.0;7.677078247070312e-05;0.8751852512359619
Random;100;8;92;71;143;12;0.9268167860798362;0.0;8.988380432128906e-05;0.9633173942565918
Random;100;9;90;66;129;13;0.932601880877743;0.0;9.012222290039062e-05;1.2383737564086914
Random;200;0;175;145;286;13;0.928086497359819;0.0;0.0001270771026611328;1.8786516189575195
Random;200;1;180;125;261;13;0.9369260512324795;0.0;0.00015401840209960938;14.158822298049927
Random;200;2;176;139;284;13;0.9302554027504911;0.0;0.00014829635620117188;0.8209047317504883
Random;200;3;178;135;269;13;0.9363313609467455;0.0;0.00017881393432617188;1.0546438694000244
Random;200;4;179;142;272;13;0.9330873308733088;0.0;0.0001773834228515625;0.9114904403686523
Random;200;5;179;126;260;13;0.9388235294117647;0.0;0.00013875961303710938;0.38652777671813965
Random;200;6;188;137;274;14;0.9334305150631681;0.0;0.00012421607971191406;0.831052303314209
Random;200;7;173;134;266;12;0.9322465613856342;0.0;0.0001499652862548828;0.160430908203125
Random;200;8;172;150;333;12;0.9170816733067729;0.0;0.00017380714416503906;0.19729351997375488
Random;200;9;172;132;269;13;0.9382744378155117;0.0;0.00015664100646972656;0.5553641319274902
Random;300;0;264;193;380;13;0.9373247567210952;0.0;0.0002384185791015625;0.6625447273254395
Random;300;1;263;207;377;13;0.9371771371438093;0.0;0.0001850128173828125;0.3655681610107422
Random;300;2;260;204;391;13;0.9343739509902652;0.0;0.0001773834228515625;0.2759568691253662
Random;300;3;258;201;393;12;0.9355737704918032;0.0;0.00018143653869628906;0.1520826816558838
Random;300;4;257;210;423;13;0.9308258381030253;0.0;0.00022792816162109375;0.022664546966552734
Random;300;5;249;206;419;13;0.9282534246575342;0.0;0.0002377033233642578;0.03241920471191406
Random;300;6;268;210;410;13;0.9323432343234324;0.0;0.00023293495178222656;0.037517547607421875
Random;300;7;263;210;392;13;0.9353242039267448;0.0;0.00021028518676757812;0.005549430847167969
Random;300;8;253;207;410;14;0.9341153784348385;0.0;0.0003895759582519531;0.005883216857910156
Random;300;9;255;215;443;13;0.9258453297623033;0.0;0.0003387928009033203;0.007213115692138672
Random;400;0;345;281;551;13;0.9332283082888997;0.0;0.00017404556274414062;0.027753591537475586
Random;400;1;343;266;547;13;0.9336406648065025;0.0;0.00016570091247558594;0.006978750228881836
Random;400;2;346;261;530;13;0.9352394916911047;0.0;0.0002777576446533203;0.0075457096099853516
Random;400;3;343;271;545;13;0.9348086124401914;0.0;0.0001857280731201172;0.007291316986083984
Random;400;4;347;265;525;13;0.9375520399666945;0.0;0.00016808509826660156;0.009149312973022461
Random;400;5;345;276;550;13;0.9314727136805383;0.0;0.00015473365783691406;0.006340503692626953
Random;400;6;348;267;527;13;0.9355115026921195;0.0;0.00015306472778320312;0.009294748306274414
Random;400;7;338;272;530;14;0.9336504757135704;0.0;0.00016379356384277344;0.006924867630004883
Random;400;8;332;261;518;13;0.9378076599831913;0.0;0.00023436546325683594;0.007699251174926758
Random;400;9;343;254;500;13;0.939562432007736;0.0;0.00023102760314941406;0.007308244705200195
Random;500;0;427;353;718;12;0.9293724178634665;0.0;0.0002837181091308594;0.010143518447875977
Random;500;1;432;342;688;14;0.9340301083517115;0.0;0.00027489662170410156;0.009369850158691406
Random;500;2;419;335;651;13;0.9352754026645457;0.0;0.0004978179931640625;0.008669853210449219
Random;500;3;424;343;673;14;0.9348814707305273;0.0;0.00037026405334472656;0.01057744026184082
Random;500;4;421;343;677;13;0.9345324436708249;0.0;0.00028896331787109375;0.008265972137451172
Random;500;5;425;338;668;13;0.935874052030335;0.0;0.0003571510314941406;0.009016275405883789
Random;500;6;426;337;688;14;0.9349224366250473;0.0;0.00021600723266601562;0.008873224258422852
Random;500;7;418;341;695;14;0.9315473259135231;0.0;0.00024628639221191406;0.008175849914550781
Random;500;8;416;355;710;13;0.9298765432098766;0.0;0.00030684471130371094;0.010394811630249023
Random;500;9;429;351;701;14;0.9336425596365013;0.0;0.00030350685119628906;0.011801004409790039
Longest;100;0;100;81;145;14;0.9663807094829585;0.0;0.019367218017578125;0.004307746887207031
Longest;100;1;100;81;145;14;0.9663807094829585;0.0;0.014644861221313477;0.004669189453125
Longest;100;2;100;81;145;14;0.9663807094829585;0.0;0.014633893966674805;0.006259441375732422
Longest;100;3;100;81;145;14;0.9663807094829585;0.0;0.015113592147827148;0.006003141403198242
Longest;100;4;100;81;145;14;0.9663807094829585;0.0;0.01595616340637207;0.005154848098754883
Longest;100;5;100;81;145;14;0.9663807094829585;0.0;0.02188897132873535;0.005849599838256836
Longest;100;6;100;81;145;14;0.9663807094829585;0.0;0.016657114028930664;0.00445103645324707
Longest;100;7;100;81;145;14;0.9663807094829585;0.0;0.01547694206237793;0.0038602352142333984
Longest;100;8;100;81;145;14;0.9663807094829585;0.0;0.012276649475097656;0.0035400390625
Longest;100;9;100;81;145;14;0.9663807094829585;0.0;0.012660980224609375;0.0034902095794677734
Longest;200;0;200;152;261;14;0.9623104693140794;0.0;0.010764122009277344;0.006280660629272461
Longest;200;1;200;152;261;14;0.9623104693140794;0.0;0.012640714645385742;0.0055921077728271484
Longest;200;2;200;152;261;14;0.9623104693140794;0.0;0.011092662811279297;0.008850574493408203
Longest;200;3;200;152;261;14;0.9623104693140794;0.0;0.010985612869262695;0.007185935974121094
Longest;200;4;200;152;261;14;0.9623104693140794;0.0;0.012655019760131836;0.006724834442138672
Longest;200;5;200;152;261;14;0.9623104693140794;0.0;0.012339591979980469;0.005339145660400391
Longest;200;6;200;152;261;14;0.9623104693140794;0.0;0.011719703674316406;0.004839420318603516
Longest;200;7;200;152;261;14;0.9623104693140794;0.0;0.011444568634033203;0.006127595901489258
